id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook
mdc-daf70dfeb97230e50623,Botella térmica equipo,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,17.90 EUR,https://www.milesdecolores.com/producto/botella-termica-equipo,https://images.sumup.com/img_267HQ050BQ859A8QFDZ8R0XF1R,Miles de Colores,999
mdc-3138be4c8c12e6e9347b,Camiseta papá ciclista,Escribe el nombre y orden de los niños que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,13.90 EUR,https://www.milesdecolores.com/producto/camiseta-papa-ciclista,https://images.sumup.com/img_69AX9FTDB989CV822XTS560Z57,Miles de Colores,999
mdc-613672a3da3d392bb6c9,Pack fiambrera + Botella térmica + toalla + hucha,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,49.90 EUR,https://www.milesdecolores.com/producto/pack-fiambrera-botella-termica-toalla-hucha,https://images.sumup.com/img_5BTSKVF63Q84YTRRHJR7N0Q4HS,Miles de Colores,999
mdc-fb51d2a6afd45fb4a4a7,"Cajas de cumple ""esqueletos""",Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,2.50 EUR,https://www.milesdecolores.com/producto/cajas-de-cumple-esqueletos,https://images.sumup.com/img_5GM7GFREYT8PKT401VQASGC4GR,Miles de Colores,999
mdc-7c6b93afe26c58792623,Colgador ambientador,Escribe el dibujo o frase que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/colgador-ambientador,https://images.sumup.com/img_7XHFSQW4QN9NX9F72Z6EZN5CJ9,Miles de Colores,999
mdc-d07cf9f8289502c31ab5,"Jarra ""Eres la caña""","Jarra ""Eres la caña""",in stock,new,16.90 EUR,https://www.milesdecolores.com/producto/jarra-eres-la-cana,https://images.sumup.com/img_4W7NHVY8418G1BC3MYQ0DJVVHN,Miles de Colores,999
mdc-b736ba94d71ae1fdeb54,"Cojín ""Eres el mejor""","Cojín ""Eres el mejor""",in stock,new,14.90 EUR,https://www.milesdecolores.com/producto/cojin-eres-el-mejor,https://images.sumup.com/img_5GV2MYD0VR93XBH27H3DV2HGCC,Miles de Colores,999
mdc-effb5c3c69dfb1356256,Llavero mundo,Llavero mundo,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/llavero-mundo,https://images.sumup.com/img_38DKDGFFNS9VQA633WFS551WH7,Miles de Colores,999
mdc-801991fd5607b308d8c7,Gorra Super Papá/Abuelo,Gorra Super Papá/Abuelo,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/gorra-super-papa-abuelo,https://images.sumup.com/img_45GP717J9N988SF9JWKEGHDW6H,Miles de Colores,999
mdc-4512712802e2d48b5b9a,Caja regalo Kpop,"Caja de madera personaliza con el dibujo que se prefiera compuesto por: Fiambrera, botella térmica, toalla y hucha.Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.",in stock,new,59.90 EUR,https://www.milesdecolores.com/producto/caja-regalo-kpop,https://images.sumup.com/img_73MTG20DDB82WVV863Y9Q7BFX6,Miles de Colores,999
mdc-047e7e61b24081e6285f,Camiseta Stranger Things niñ@,Camiseta Stranger Things niñ@,in stock,new,10.90 EUR,https://www.milesdecolores.com/producto/camiseta-stranger-things-ninat,https://images.sumup.com/img_18WXD6YCW49G0S2DN48M88VRWS,Miles de Colores,999
mdc-3500bf351b0aa6057e89,Ambientador coche,Escribe la frase que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/ambientador-coche,https://images.sumup.com/img_5PN1NFYRJS9ZHTQPMCSD8WDP9S,Miles de Colores,999
mdc-4262ce8a736d8973ba81,Caja regalo 50 años,"Caja regalo rellena de dulces, patatas, refresco/cerveza,etc Camiseta 50 años y topper de tarta en madera. Las gafas que aparecen en la imagen no incluidas.",in stock,new,50.00 EUR,https://www.milesdecolores.com/producto/caja-regalo-50-anos,https://images.sumup.com/img_35H4TJ2THR9DATF4M8Z0GW6DG8,Miles de Colores,999
mdc-dff59281b6a910cdc7ad,Topper con nombre,Escribe el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,14.90 EUR,https://www.milesdecolores.com/producto/topper-con-nombre,https://images.sumup.com/img_1E1MRXZNBT9QNTWSHPHFWZRBJT,Miles de Colores,999
mdc-e0138d079e491d3fe631,Calcetines Papá/Abuelo,Calcetines Papá/Abuelo,in stock,new,7.90 EUR,https://www.milesdecolores.com/producto/calcetines-papa-abuelo,https://images.sumup.com/img_7XD3SSNNMD8D58A64QJ8HFJAKB,Miles de Colores,999
mdc-ca6265b0fedbe540a135,Cartera nombre o iniciales,Escribe el nombre o iniciales que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/cartera-nombre-o-iniciales,https://images.sumup.com/img_411GXWMGBS8A4AS78MKSX9CXJA,Miles de Colores,999
mdc-ec2dbb18a1549de22bad,"Camiseta cumple ""Desdentao""",Escribe el nombre y número que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,10.90 EUR,https://www.milesdecolores.com/producto/camiseta-cumple-desdentao,https://images.sumup.com/img_72CYFMHVWG8XB90EW9RD0PP4GY,Miles de Colores,999
mdc-853a3dac24ad454a31d6,Caja nacimiento,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,59.90 EUR,https://www.milesdecolores.com/producto/caja-nacimiento,https://images.sumup.com/img_0G4MXXJM3P8TXSJVGT760P77SC,Miles de Colores,999
mdc-8453ce7c5b2b95277524,Caja regalo mix equipo,Escribe el nombre y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,20.00 EUR,https://www.milesdecolores.com/producto/caja-regalo-mix-equipo,https://images.sumup.com/img_2MD850NR358KW84HR04DMHBG98,Miles de Colores,999
mdc-2d568055038f563e0d8d,Pack jarra + abridor,Pack jarra + abridor,in stock,new,21.90 EUR,https://www.milesdecolores.com/producto/pack-jarra-abridor,https://images.sumup.com/img_5F899PA9PX9QRSZGC1BCH4DXTW,Miles de Colores,999
mdc-340266f2ce202568cab5,Hucha inicial + nombre,Escribe la inicial y el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,12.90 EUR,https://www.milesdecolores.com/producto/hucha-inicial-nombre,https://images.sumup.com/img_75WC62DRAW8SD8CYY7FCE9W6WD,Miles de Colores,999
mdc-4b05bee5cb3537ef27d6,Camiseta 50 años,Escribe el mes que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,50.00 EUR,https://www.milesdecolores.com/producto/camiseta-50-anos,https://images.sumup.com/img_3KM466YB6P86KTFB74ATYKFMF0,Miles de Colores,999
mdc-2ecc51182c822d9712ea,Calcetines papá futbolero,Calcetines papá futbolero,in stock,new,7.90 EUR,https://www.milesdecolores.com/producto/calcetines-papa-futbolero,https://images.sumup.com/img_1565YZS7879C9RPT52PADR4J1H,Miles de Colores,999
mdc-7042cb18271b962736f2,"PACK BABERO, BANDANA, TOALLA, MORDEDOR",Escribe el nombre y tela que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,29.90 EUR,https://www.milesdecolores.com/producto/pack-babero-bandana-toalla-mordedor,https://images.sumup.com/img_5TKC02KZ639HJV1QQFFGGRGA6H,Miles de Colores,999
mdc-32bc5354559ceb1eb845,Medallero madera triatlón,Escribe el nombre y deporte que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,25.90 EUR,https://www.milesdecolores.com/producto/medallero-madera-triatlon,https://images.sumup.com/img_7CWRBX9RRG9AXTW69WZ081TGQN,Miles de Colores,999
mdc-62523b4151f57a2dd56d,Camiseta puños abuelo/yayo,Escribe el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,23.90 EUR,https://www.milesdecolores.com/producto/camiseta-punos-abuelo-yayo,https://images.sumup.com/img_05NFJ6F95A810BMQN3H311V1DD,Miles de Colores,999
mdc-99b11afc38a880b12f91,Calcetines papá/abuelo,Calcetines papá/abuelo,in stock,new,7.90 EUR,https://www.milesdecolores.com/producto/calcetines-papa-abuelo-1,https://images.sumup.com/img_7J79ARW4B98N8SVW7GMW1CFFJ5,Miles de Colores,999
mdc-517d948de91e62c82223,Neceser Estrella,Escribe el nombre que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.,in stock,new,6.00 EUR,https://www.milesdecolores.com/producto/neceser-estrella,https://images.sumup.com/img_6QT5EWR2X18ZCT9VJNNNT59271,Miles de Colores,999
mdc-c6eee2f0f356e25d1aea,Neceser estrella (eventos),"IMPORTANTE: Cantidad mínimo de 15 unidades. Por debajo de esa cantidad, precio normal por unidad.Escribe el listado de nombres que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar.",in stock,new,3.50 EUR,https://www.milesdecolores.com/producto/neceser-estrella-eventos,https://images.sumup.com/img_6TN2V525H48K096DNS3AVMP4D5,Miles de Colores,999
mdc-4ce35cb2d383b70b1957,Taza Papá,Taza Papá,in stock,new,10.90 EUR,https://www.milesdecolores.com/producto/taza-papa,https://images.sumup.com/img_7XKQG2366D8F5SK7YVZMG65VJ6,Miles de Colores,999
mdc-007f4978b8137308ba2f,"Cono ""Stranger things""","Escribe el nombre, número de cumple y dibujo que deseas en las notas del pedido al finalizar la compra. Nos pondremos en contacto para confirmar el diseño.",in stock,new,1.50 EUR,https://www.milesdecolores.com/producto/cono-stranger-things,https://images.sumup.com/img_0XB1Y4V16R9SKAGEJDT69ED6RQ,Miles de Colores,999
mdc-59db516f23e708cb1c90,"Abuelo ""Eres la caña""","Abuelo ""Eres la caña""",in stock,new,16.90 EUR,https://www.milesdecolores.com/producto/abuelo-eres-la-cana,https://images.sumup.com/img_1TW26YSP4884BS3DDVNJSDPDGP,Miles de Colores,999
mdc-29671977fdd18b3ed8ee,Pack Fiambrera + Botella térmica + Llavero,Pack Fiambrera + Botella térmica + Llavero,in stock,new,33.50 EUR,https://www.milesdecolores.com/producto/pack-fiambrera-botella-termica-llavero,https://images.sumup.com/img_2GNRJJ5QXQ9GPBXHDF5EZ1JRQX,Miles de Colores,999
